Time,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/3/0/0,LIX,324000000000.0,20154883882,442529625773.0,550927711850.0,44030633443,,158381524977,296992155961.0,365934905009
2021/3/0/0,LM8,93886820000.0,2546019840,263319358903.0,285048040771.0,2346863046,121554084399.0,424654191192,665582800932.0,1120296929201
2021/3/0/0,MCG,575100000000.0,-1728483127,4513374342.0,6680778255.0,2795741286,212800.0,409980910947,137832537416.0,518803601097
2021/3/0/0,MCP,150713370000.0,6611498230,92344053828.0,109076062429.0,11816258797,41200000000.0,86388554672,109292843145.0,122944144691
2021/3/0/0,MDG,108890310000.0,140672496,27947388068.0,33823359793.0,2556790800,,227357173941,25065188609.0,189489913979
2021/3/0/0,MHC,414069640000.0,-41282235214,4075366048.0,4078858560.0,12768433606,629735389111.0,529441769318,,122905631611
2021/3/0/0,MSH,500094000000.0,118826949417,1068076975578.0,1296411986719.0,252121416257,689290000000.0,685019182610,865745202992.0,1459545955572
2021/3/0/0,MSN,11805347000000.0,1586332000000,17508621000000.0,23604809000000.0,12300031000000,350250000000.0,8561607000000,13732231000000.0,39858448000000
2021/3/0/0,MWG,7130654950000.0,785802158883,18244500199927.0,24333213525693.0,3215215954814,6814280806241.0,2787721676605,21556084239775.0,27421544713124
2021/3/0/0,NAF,475678520000.0,20527767984,333084617298.0,410078191466.0,52971764036,200000000.0,778148779788,148962910355.0,707639054208
2021/3/0/0,NAV,80000000000.0,2371946447,996252468.0,3475407644.0,36870618173,108000000000.0,5550729995,8940782191.0,60221998858
2021/3/0/0,NBB,1004756560000.0,172063103524,7021417629.0,5585219768.0,63649889886,,1234785025710,2379693236150.0,2314085952598
2021/3/0/0,NCT,261669400000.0,62193761266,94469359053.0,187088536038.0,167005378032,82260000000.0,75358751909,3322161708.0,86416582685
2021/3/0/0,NHA,281165500000.0,501396439,23928202353.0,27190971494.0,2376331465,,31124368809,37490735537.0,109972305130
2021/3/0/0,NKG,2183985680000.0,606672864178,6235050946121.0,7531042812767.0,691803323322,505089038675.0,3519755989310,7138337162954.0,10335217801337
2021/3/0/0,NNC,219200000000.0,2888650614,13036872015.0,17144547393.0,84505849792,129989.0,16978106887,74848345000.0,67846413714
2021/3/0/0,NSC,175869880000.0,34224625650,298639623860.0,405274789143.0,214901945012,4400000000.0,278959967493,606975710263.0,743238000421
2021/3/0/0,NT2,2878760290000.0,273219977572,944593350854.0,1249646094002.0,16506043354,420000000000.0,1767707116036,310007170221.0,2587527126115
2021/3/0/0,NTL,609899500000.0,74076214755,61498949034.0,157107237749.0,208207615952,,268631838511,1207996888988.0,560874871310
2021/3/0/0,OGC,3000000000000.0,28267936149,58333341879.0,83782108857.0,161817733791,278950939600.0,913627476021,295051648610.0,945280036736
2021/3/0/0,OPC,265772800000.0,33351465450,181338763677.0,298173155986.0,96251163326,18403995881.0,159960878255,591665492322.0,492750072288
2021/3/0/0,PAC,464717070000.0,24406570618,478787793328.0,560935023926.0,73467497045,699800000000.0,259934319836,845288239036.0,1744870032730
2021/3/0/0,PAN,2163585800000.0,73043475968,2087311306482.0,2554707868931.0,2460135399351,72926791888.0,1873414879485,2229615341017.0,4061932651611
2021/3/0/0,PC1,1911881590000.0,156403614785,2816485985069.0,3131207777266.0,1782832964955,83240509185.0,3640096424953,1073664640489.0,6245793472187
2021/3/0/0,PDN,185219540000.0,38001910615,147888357415.0,210140096605.0,214993835480,55000000000.0,109211276741,599411434.0,310645012873
2021/3/0/0,PDR,4867719160000.0,607084434261,411580871802.0,1267564641777.0,290432574198,24400348619.0,3120494084572,11920885108040.0,4705301143244
2021/3/0/0,PET,904501240000.0,49450999000,3674176425634.0,3872631493249.0,1165668482936,234637050584.0,2509238533123,1083249437172.0,4371581051331
2021/3/0/0,PGC,603426380000.0,10137845322,645013383307.0,752326825379.0,56379105710,942972777778.0,389460263970,128352062877.0,1205046780209
2021/3/0/0,PGD,899990250000.0,84716040211,1885294131420.0,2087331070032.0,1120708290673,220000000000.0,987694307477,38635938802.0,1534389278377
2021/3/0/0,PHR,1354991980000.0,170563933293,321361353932.0,521686935656.0,133710477727,1934118913368.0,253365086819,383403141884.0,981358269940
2021/3/0/0,PIT,151993450000.0,-60102063,191172565874.0,212165507666.0,3773028930,4029922558.0,94368521868,99753362162.0,202965202634
2021/3/0/0,PJT,230407170000.0,-1869466424,113468559711.0,120378072218.0,87559120859,,9142924263,41290746528.0,138030162584
2021/3/0/0,PME,750116250000.0,78775299854,229337678874.0,467556681140.0,26108693780,,826498003160,739232479504.0,634965084080
2021/3/0/0,PMG,463362780000.0,-4180289708,328602884148.0,386964135654.0,85884636458,209956717630.0,161869228122,50420077570.0,816062071958
2021/3/0/0,PNC,110402410000.0,-12408421158,27809063096.0,42715145412.0,31268825281,29640000000.0,121854550732,270190750280.0,366407740177
2021/3/0/0,PNJ,2276123620000.0,-159528391064,721083564561.0,876967240018.0,192167536492,,130549895333,7509947396534.0,3600397079327
2021/3/0/0,POW,23418716000000.0,603322826002,4499699904302.0,5342484577946.0,9320562550334,1230626638554.0,6565479771927,2212497493779.0,16883548602448
2021/3/0/0,PPC,3262350000000.0,-35377349511,1093068093475.0,1048701360770.0,366489825929,641000000000.0,1328911358889,348436905962.0,953900498031
2021/3/0/0,PSH,1261967800000.0,150275560799,793241338209.0,1062162968608.0,182100159298,,716836937451,5926428560081.0,7811359043353
2021/3/0/0,PTB,485994410000.0,166793846583,1313270795054.0,1730503864232.0,136534151704,168859570487.0,944055162520,1874443427156.0,2828184042555
2021/3/0/0,PTC,179999990000.0,53313014,,,40765107725,52160232524.0,47314750660,48693317.0,33117797583
2021/3/0/0,PVD,4215457890000.0,55625064772,891787459356.0,1011147469064.0,778317114520,1463136463140.0,2095349058220,724831515540.0,2645415573020
2021/3/0/0,PVT,3236512460000.0,153033180328,1397376175155.0,1679694222010.0,1574770666120,1730316945205.0,1469028727457,149294074789.0,2998563889324
2021/3/0/0,PXI,300000000000.0,-2981073708,1179153994.0,1737220100.0,46168221361,,168970328352,145777232381.0,174161430321
2021/3/0/0,PXS,600000000000.0,1090024758,404495764431.0,390519189181.0,80851155207,,407558084406,243495730583.0,978475346610
2021/3/0/0,PXT,200000000000.0,-3569708128,431261916.0,942259750.0,1783610032,,199894746852,68191888235.0,261074318084
2021/3/0/0,QCG,2751293100000.0,10114295132,175880255141.0,223409003511.0,17089527027,200000000.0,594158250352,7061867569006.0,5266856134899
2021/3/0/0,RAL,120750000000.0,42171389773,520935412781.0,774930267532.0,823561969459,,2807581309370,964019263034.0,3784921613117
